Time,Throughput
3.0,1.121216
3.5,1.06752
4.0,1.1424
4.5,1.071936
5.0,1.16
5.5,1.137984
6.0,1.120384
6.5,1.023488
7.0,1.300928
7.5,1.023488
8.0,1.137984
8.5,1.256896
9.0,0.979456
9.5,1.208448
10.0,1.071936
10.5,1.115968
11.0,1.25248
11.5,0.913408
12.0,1.137984
12.5,1.208448
13.0,1.340544
13.5,1.027904
14.0,1.023488
14.5,1.256896
15.0,1.16
15.5,1.001472
16.0,1.300928
16.5,0.842944
17.0,1.274496
17.5,1.164416
18.0,1.16
18.5,1.093952
19.0,1.093952
19.5,0.820928
20.0,1.093952
20.5,0.186816
21.0,0.001856
21.5,0.001856
22.0,0.160384
22.5,1.093952
23.0,1.071936
23.5,0.160384
24.0,0.001856
24.5,0.001856
25.0,0.001856
25.5,0.001856
26.0,0.001856
26.5,0.001856
27.0,0.001856
27.5,0.023872
28.0,0.001856
28.5,0.825344
29.0,1.146816
29.5,1.864576
30.0,1.54752
30.5,0.953024
31.0,1.789696
31.5,1.336128
32.0,1.358144
32.5,1.265664
33.0,0.022016
