Time,Throughput
3.0,1.034944
3.5,2.712
4.0,4.512
4.5,5.04
5.0,4.56
5.5,5.904
6.0,3.888
6.5,5.928
7.0,5.232
7.5,1.44
8.0,4.176
8.5,6.816
9.0,7.44
9.5,3.696
10.0,5.472
10.5,8.208
11.0,7.104
11.5,6.192
12.0,6.624
12.5,8.208
13.0,6.96
13.5,2.328
14.0,6.336
14.5,6.432
15.0,7.104
15.5,4.944
16.0,6.48
16.5,9.552
17.0,6.72
17.5,9.36
18.0,9.024
18.5,10.032
19.0,3.672
19.5,6.288
20.0,7.872
20.5,5.952
21.0,8.88
21.5,7.344
22.0,8.064
22.5,5.472
23.0,10.104
23.5,10.056
24.0,10.368
24.5,6.864
25.0,6.816
25.5,6.288
26.0,7.104
26.5,6.096
27.0,6.48
27.5,7.488
28.0,6.864
28.5,4.944
29.0,6.336
29.5,6.768
30.0,7.776
30.5,6.096
31.0,5.112
31.5,6.168
32.0,5.664
32.5,6.576
33.0,7.632
33.5,6.432
34.0,7.2
34.5,8.304
35.0,8.016
35.5,8.592
36.0,9.168
36.5,7.2
37.0,8.352
37.5,3.552
38.0,6.432
38.5,3.792
39.0,1.92
39.5,0.816
40.0,4.8
40.5,4.08
41.0,4.8
41.5,5.184
42.0,3.432
42.5,4.752
43.0,7.872
43.5,8.592
44.0,9.12
44.5,9.408
45.0,9.696
45.5,9.84
46.0,9.504
46.5,10.32
47.0,10.08
47.5,10.224
48.0,7.872
48.5,9.744
49.0,10.608
49.5,10.8
50.0,10.704
50.5,11.328
51.0,11.424
51.5,7.68
52.0,7.68
52.5,11.04
53.0,6.12
53.5,9.648
54.0,6.384
54.5,8.496
55.0,5.136
55.5,9.312
56.0,6.816
56.5,10.8
57.0,8.448
57.5,9.0
58.0,7.608
58.5,10.176
59.0,5.856
59.5,5.76
60.0,8.448
60.5,9.792
61.0,11.184
61.5,1.056
62.0,2.832
62.5,7.344
63.0,2.52
